X_mm,Y_mm,WF_mean_µm
-1.2,2.55,-123.53705
-1.05,2.55,-116.3412
-0.9,2.55,-109.25050000000002
-0.75,2.55,-102.26295
-0.6,2.55,-95.38119999999999
-0.45,2.55,-88.6049
-0.3,2.55,-81.94005000000001
-0.15,2.55,-75.38625
0.0,2.55,-68.96554999999998
0.15,2.55,-62.67895000000001
0.3,2.55,-56.336299999999994
0.45,2.55,-50.124300000000005
0.6,2.55,-43.86130000000001
0.75,2.55,-37.68645000000001
0.9,2.55,-31.51235000000001
1.05,2.55,-25.363049999999994
1.2,2.55,-19.246599999999997
1.35,2.55,-13.2443
1.5,2.55,-7.32775
1.65,2.55,-1.5608500000000003
1.8,2.55,4.0952
1.95,2.55,9.5827
2.1,2.55,14.9119
2.25,2.55,20.107899999999997
2.4,2.55,25.1881
2.55,2.55,30.17015
2.7,2.55,35.06875000000001
2.85,2.55,39.9088
3.0,2.55,44.72534999999999
3.15,2.55,49.55380000000001
3.3,2.55,54.421400000000006
3.45,2.55,59.349900000000005
3.6,2.55,64.36485000000002
3.75,2.55,69.47945
3.9,2.55,74.699
4.05,2.55,80.02634999999998
4.2,2.55,85.45374999999999
4.35,2.55,90.97625000000001
4.5,2.55,96.58000000000001
4.65,2.55,102.25755
4.8,2.55,107.99704999999999
4.95,2.55,113.78920000000002
5.1,2.55,119.62825000000001
5.25,2.55,125.50750000000002
5.4,2.55,
,2.55,
-5.4,2.4,
-5.25,2.4,
-5.1,2.4,-372.32439999999997
-4.95,2.4,-359.2805
-4.8,2.4,-346.4067
-4.65,2.4,-333.78395
-4.5,2.4,-321.41745000000003
-4.35,2.4,-309.31100000000004
-4.2,2.4,-297.47255
-4.05,2.4,-285.90420000000006
-3.9,2.4,-274.62495
-3.75,2.4,-263.62505
-3.6,2.4,-252.91294999999997
-3.45,2.4,-242.49470000000002
-3.3,2.4,-232.372
-3.15,2.4,-222.54415000000003
-3.0,2.4,-213.00919999999996
-2.85,2.4,-203.76299999999998
-2.7,2.4,-194.7959
-2.55,2.4,-186.10275000000001
-2.4,2.4,-177.66735
-2.25,2.4,-169.47655
-2.1,2.4,-161.51119999999997
-1.95,2.4,-153.75015000000002
-1.8,2.4,-146.17195
-1.65,2.4,-138.75585
-1.5,2.4,-131.48789999999997
-1.35,2.4,-124.34939999999999
-1.2,2.4,-117.3323
-1.05,2.4,-110.4286
-0.9,2.4,-103.63005000000001
-0.75,2.4,-96.93310000000002
-0.6,2.4,-90.33935000000001
-0.45,2.4,-83.8536
-0.3,2.4,-77.4773
-0.15,2.4,-71.18409999999999
0.0,2.4,-65.03359999999999
0.15,2.4,-58.880100000000006
0.3,2.4,-52.6681
0.45,2.4,-46.49960000000001
0.6,2.4,-40.28759999999999
0.75,2.4,-34.128550000000004
0.9,2.4,-28.004150000000003
1.05,2.4,-21.928500000000003
1.2,2.4,-15.88955
1.35,2.4,-9.962349999999999
1.5,2.4,-4.14705
1.65,2.4,1.5325
1.8,2.4,7.14135
1.95,2.4,12.520900000000001
2.1,2.4,17.7559
2.25,2.4,22.882550000000002
2.4,2.4,27.910950000000003
2.55,2.4,32.85385000000001
2.7,2.4,37.73205
2.85,2.4,42.574299999999994
3.0,2.4,47.42280000000001
3.15,2.4,52.31345
3.3,2.4,57.272499999999994
3.45,2.4,62.31780000000001
3.6,2.4,67.47199999999998
3.75,2.4,72.74170000000001
3.9,2.4,78.12435
4.05,2.4,83.61829999999999
4.2,2.4,89.20879999999998
4.35,2.4,94.88690000000001
4.5,2.4,100.63719999999999
4.65,2.4,106.44840000000002
4.8,2.4,112.31040000000003
4.95,2.4,118.21419999999998
5.1,2.4,124.15549999999999
5.25,2.4,130.12795
5.4,2.4,
,2.4,
-5.4,2.25,
-5.25,2.25,
-5.1,2.25,-362.44335
-4.95,2.25,-349.4743
-4.8,2.25,-336.7439
-4.65,2.25,-324.2591499999999
-4.5,2.25,-312.0262
-4.35,2.25,-300.04810000000003
-4.2,2.25,-288.3311499999999
-4.05,2.25,-276.87809999999996
-3.9,2.25,-265.70835
-3.75,2.25,-254.8164
-3.6,2.25,-244.20954999999998
-3.45,2.25,-233.8919
-3.3,2.25,-223.87039999999996
-3.15,2.25,-214.1458
-3.0,2.25,-204.71635000000003
-2.85,2.25,-195.58469999999997
-2.7,2.25,-186.74245000000002
-2.55,2.25,-178.18404999999998
-2.4,2.25,-169.9018
-2.25,2.25,-161.88215000000005
-2.1,2.25,-154.10795000000002
-1.95,2.25,-146.5591
-1.8,2.25,-139.21305
-1.65,2.25,-132.04719999999998
-1.5,2.25,-125.04355000000001
-1.35,2.25,-118.18030000000002
-1.2,2.25,-111.44575
-1.05,2.25,-104.83130000000001
-0.9,2.25,-98.32714999999997
-0.75,2.25,-91.92179999999999
-0.6,2.25,-85.61645
-0.45,2.25,-79.4225
-0.3,2.25,-73.37370000000001
-0.15,2.25,-67.318
0.0,2.25,-61.332799999999985
0.15,2.25,-55.234950000000005
0.3,2.25,-49.061
0.45,2.25,-42.852199999999996
0.6,2.25,-36.69269999999999
0.75,2.25,-30.56789999999999
0.9,2.25,-24.50105
1.05,2.25,-18.494799999999998
1.2,2.25,-12.568900000000001
1.35,2.25,-6.755550000000001
1.5,2.25,-1.1170499999999997
1.65,2.25,4.35265
1.8,2.25,9.7401
1.95,2.25,14.923549999999997
2.1,2.25,20.089350000000003
2.25,2.25,25.1706
2.4,2.25,30.16255
2.55,2.25,35.082499999999996
2.7,2.25,39.9578
2.85,2.25,44.827
3.0,2.25,49.73495
3.15,2.25,54.718
3.3,2.25,59.797799999999995
3.45,2.25,64.98915000000001
3.6,2.25,70.3038
3.75,2.25,75.74225
3.9,2.25,81.29425
4.05,2.25,86.95475
4.2,2.25,92.7035
4.35,2.25,98.53065000000001
4.5,2.25,104.41665
4.65,2.25,110.35235
4.8,2.25,116.32624999999999
4.95,2.25,122.33040000000001
5.1,2.25,128.36444999999998
5.25,2.25,134.42275
5.4,2.25,
,2.25,
-5.4,2.1,
-5.25,2.1,
-5.1,2.1,-353.36074999999994
-4.95,2.1,-340.53914999999995
-4.8,2.1,-327.95494999999994
-4.65,2.1,-315.61389999999994
-4.5,2.1,-303.5198000000001
-4.35,2.1,-291.6749
-4.2,2.1,-280.08459999999997
-4.05,2.1,-268.75335000000007
-3.9,2.1,-257.69804999999997
-3.75,2.1,-246.91514999999998
-3.6,2.1,-236.41385
-3.45,2.1,-226.19915
-3.3,2.1,-216.27815
-3.15,2.1,-206.6549
-3.0,2.1,-197.3271
-2.85,2.1,-188.2993
-2.7,2.1,-179.56615
-2.55,2.1,-171.12664999999998
-2.4,2.1,-162.97685000000004
-2.25,2.1,-155.10725
-2.1,2.1,-147.50394999999995
-1.95,2.1,-140.14779999999996
-1.8,2.1,-133.0165
-1.65,2.1,-126.08629999999998
-1.5,2.1,-119.33679999999997
-1.35,2.1,-112.74195000000002
-1.2,2.1,-106.28205
-1.05,2.1,-99.9542
-0.9,2.1,-93.74449999999999
-0.75,2.1,-87.63419999999999
-0.6,2.1,-81.61585
-0.45,2.1,-75.68594999999999
-0.3,2.1,-69.78345000000002
-0.15,2.1,-63.74179999999999
0.0,2.1,-57.646350000000005
0.15,2.1,-51.472350000000006
0.3,2.1,-45.267
0.45,2.1,-39.069399999999995
0.6,2.1,-32.9177
0.75,2.1,-26.825750000000006
0.9,2.1,-20.8234
1.05,2.1,-14.9094
1.2,2.1,-9.133799999999997
1.35,2.1,-3.5190999999999995
1.5,2.1,1.9120000000000001
1.65,2.1,7.147150000000001
1.8,2.1,12.258149999999999
1.95,2.1,17.234299999999998
2.1,2.1,22.22885
2.25,2.1,27.20145
2.4,2.1,32.174600000000005
2.55,2.1,37.08810000000001
2.7,2.1,41.98040000000001
2.85,2.1,46.904500000000006
3.0,2.1,51.9036
3.15,2.1,57.01270000000001
3.3,2.1,62.24375
3.45,2.1,67.60505
3.6,2.1,73.09525000000001
3.75,2.1,78.7105
3.9,2.1,84.43390000000001
4.05,2.1,90.25594999999998
4.2,2.1,96.15700000000001
4.35,2.1,102.123
4.5,2.1,108.1327
4.65,2.1,114.17935
4.8,2.1,120.25259999999999
4.95,2.1,126.34729999999999
5.1,2.1,132.46735
5.25,2.1,138.6077
5.4,2.1,
,2.1,
-5.4,1.95,
-5.25,1.95,
-5.1,1.95,-344.8723999999999
-4.95,1.95,-332.20835
-4.8,1.95,-319.7761
-4.65,1.95,-307.5820500000001
-4.5,1.95,-295.63075
-4.35,1.95,-283.92500000000007
-4.2,1.95,-272.46889999999996
-4.05,1.95,-261.26515
-3.9,1.95,-250.32865
-3.75,1.95,-239.65945000000002
