X_mm,Y_mm,WF_mean_µm
-0.9,2.4,-99.0672
-0.75,2.4,-92.79285000000002
-0.6,2.4,-86.57605
-0.45,2.4,-80.42810000000001
-0.3,2.4,-74.38895
-0.15,2.4,-68.39975000000001
0.0,2.4,-62.50135
0.15,2.4,-56.70495
0.3,2.4,-50.866200000000006
0.45,2.4,-45.00655
0.6,2.4,-39.1398
0.75,2.4,-33.266650000000006
0.9,2.4,-27.379249999999995
1.05,2.4,-21.530399999999997
1.2,2.4,-15.7484
1.35,2.4,-10.07795
1.5,2.4,-4.52345
1.65,2.4,0.8220000000000001
1.8,2.4,5.998849999999999
1.95,2.4,11.0171
2.1,2.4,15.880949999999999
2.25,2.4,20.625700000000002
2.4,2.4,25.278699999999997
2.55,2.4,29.861349999999998
2.7,2.4,34.400349999999996
2.85,2.4,38.9245
3.0,2.4,43.47109999999999
3.15,2.4,48.0706
3.3,2.4,52.74364999999999
3.45,2.4,57.50404999999999
3.6,2.4,62.369650000000014
3.75,2.4,67.3429
3.9,2.4,72.4176
4.05,2.4,77.58904999999999
4.2,2.4,82.84114999999998
4.35,2.4,88.1657
4.5,2.4,93.54965
4.65,2.4,98.98645000000002
4.8,2.4,104.47144999999998
4.95,2.4,110.00240000000001
5.1,2.4,115.58149999999998
5.25,2.4,121.20795000000003
5.4,2.4,
,2.4,
-5.4,2.25,
-5.25,2.25,
-5.1,2.25,-344.37299999999993
-4.95,2.25,-331.6782
-4.8,2.25,-319.2341
-4.65,2.25,-307.04525
-4.5,2.25,-295.1192500000001
-4.35,2.25,-283.4619
-4.2,2.25,-272.0807
-4.05,2.25,-260.9812
-3.9,2.25,-250.18455
-3.75,2.25,-239.68765
-3.6,2.25,-229.50055000000006
-3.45,2.25,-219.62924999999996
-3.3,2.25,-210.08339999999998
-3.15,2.25,-200.86559999999997
-3.0,2.25,-191.97555
-2.85,2.25,-183.41764999999998
-2.7,2.25,-175.18329999999997
-2.55,2.25,-167.2662
-2.4,2.25,-159.65535000000003
-2.25,2.25,-152.33045
-2.1,2.25,-145.26520000000002
-1.95,2.25,-138.42675
-1.8,2.25,-131.77734999999998
-1.65,2.25,-125.27895000000001
-1.5,2.25,-118.9017
-1.35,2.25,-112.61859999999999
-1.2,2.25,-106.42265000000002
-1.05,2.25,-100.31809999999999
-0.9,2.25,-94.30735
-0.75,2.25,-88.36995
-0.6,2.25,-82.48075
-0.45,2.25,-76.62299999999999
-0.3,2.25,-70.81075000000001
-0.15,2.25,-65.01169999999999
0.0,2.25,-59.19840000000001
0.15,2.25,-53.379
0.3,2.25,-47.5243
0.45,2.25,-41.686099999999996
0.6,2.25,-35.82555
0.75,2.25,-29.959950000000003
0.9,2.25,-24.146349999999998
1.05,2.25,-18.370199999999997
1.2,2.25,-12.758300000000002
1.35,2.25,-7.311300000000001
1.5,2.25,-1.9812
1.65,2.25,3.1982500000000003
1.8,2.25,8.253350000000001
1.95,2.25,13.184000000000003
2.1,2.25,17.960350000000002
2.25,2.25,22.64835
2.4,2.25,27.271300000000004
2.55,2.25,31.846399999999996
2.7,2.25,36.40405
2.85,2.25,40.97580000000001
3.0,2.25,45.5981
3.15,2.25,50.300749999999994
3.3,2.25,55.09995
3.45,2.25,60.006899999999995
3.6,2.25,65.02935
3.75,2.25,70.1637
3.9,2.25,75.39605000000002
4.05,2.25,80.7197
4.2,2.25,86.11434999999999
4.35,2.25,91.57235
4.5,2.25,97.07935
4.65,2.25,102.63275000000002
4.8,2.25,108.22730000000001
4.95,2.25,113.86245
5.1,2.25,119.54475000000002
5.25,2.25,125.27329999999998
5.4,2.25,
,2.25,
-5.4,2.1,
-5.25,2.1,
-5.1,2.1,-336.2389
-4.95,2.1,-323.68765
-4.8,2.1,-311.38030000000003
-4.65,2.1,-299.32365000000004
-4.5,2.1,-287.5234
-4.35,2.1,-275.98365
-4.2,2.1,-264.71169999999995
-4.05,2.1,-253.7138
-3.9,2.1,-243.0097
-3.75,2.1,-232.5975
-3.6,2.1,-222.48930000000001
-3.45,2.1,-212.6923
-3.3,2.1,-203.21550000000002
-3.15,2.1,-194.06589999999997
-3.0,2.1,-185.24345
-2.85,2.1,-176.75480000000002
-2.7,2.1,-168.5967
-2.55,2.1,-160.76870000000002
-2.4,2.1,-153.26635
-2.25,2.1,-146.0775
-2.1,2.1,-139.18195
-1.95,2.1,-132.5498
-1.8,2.1,-126.144
-1.65,2.1,-119.92255000000003
-1.5,2.1,-113.8457
-1.35,2.1,-107.8724
-1.2,2.1,-101.98004999999999
-1.05,2.1,-96.17850000000001
-0.9,2.1,-90.48785
-0.75,2.1,-84.89435
-0.6,2.1,-79.2673
-0.45,2.1,-73.47455
-0.3,2.1,-67.5392
-0.15,2.1,-61.67144999999999
0.0,2.1,-55.7694
0.15,2.1,-49.8711
0.3,2.1,-43.99425
0.45,2.1,-38.1498
0.6,2.1,-32.2859
0.75,2.1,-26.43425
0.9,2.1,-20.729799999999997
1.05,2.1,-15.09245
1.2,2.1,-9.61895
1.35,2.1,-4.3185
1.5,2.1,0.8138000000000002
1.65,2.1,5.7842
1.8,2.1,10.63255
1.95,2.1,15.402249999999999
2.1,2.1,20.080750000000002
2.25,2.1,24.751599999999996
2.4,2.1,29.3728
2.55,2.1,33.96579999999999
2.7,2.1,38.567249999999994
2.85,2.1,43.2147
3.0,2.1,47.93984999999999
3.15,2.1,52.77315
3.3,2.1,57.72385000000001
3.45,2.1,62.79715
3.6,2.1,67.98745
3.75,2.1,73.2864
3.9,2.1,78.67484999999998
4.05,2.1,84.14239999999998
4.2,2.1,89.67195
4.35,2.1,95.25460000000001
4.5,2.1,100.8752
4.65,2.1,106.53574999999998
4.8,2.1,112.23285000000001
4.95,2.1,117.9691
5.1,2.1,123.75429999999999
5.25,2.1,129.5873
5.4,2.1,
,2.1,
-5.4,1.95,
-5.25,1.95,
-5.1,1.95,-328.74285000000003
-4.95,1.95,-316.3429500000001
-4.8,1.95,-304.1798
-4.65,1.95,-292.26090000000005
-4.5,1.95,-280.5922000000001
-4.35,1.95,-269.1785
-4.2,1.95,-258.02524999999997
-4.05,1.95,-247.13755000000006
-3.9,1.95,-236.5324
-3.75,1.95,-226.212
-3.6,1.95,-216.1881
-3.45,1.95,-206.46910000000003
-3.3,1.95,-197.06425
-3.15,1.95,-187.98025
-3.0,1.95,-179.22150000000002
-2.85,1.95,-170.79685000000003
-2.7,1.95,-162.7036
-2.55,1.95,-154.9471
-2.4,1.95,-147.52695
-2.25,1.95,-140.43910000000002
-2.1,1.95,-133.67360000000002
-1.95,1.95,-127.20925000000003
-1.8,1.95,-121.01409999999998
-1.65,1.95,-115.04869999999998
-1.5,1.95,-109.26195
-1.35,1.95,-103.60119999999999
-1.2,1.95,-98.0183
-1.05,1.95,-92.50595000000001
-0.9,1.95,-87.08315
-0.75,1.95,-81.6064
-0.6,1.95,-75.99889999999998
-0.45,1.95,-70.1743
-0.3,1.95,-64.14750000000001
