X_mm,Y_mm,WF_mean_µm
0.15,1.65,-44.3546
0.3,1.65,-38.24185000000001
0.45,1.65,-32.207249999999995
0.6,1.65,-26.36795
0.75,1.65,-20.8491
0.9,1.65,-15.541200000000003
1.05,1.65,-10.412049999999997
1.2,1.65,-5.4085
1.35,1.65,-0.5184500000000003
1.5,1.65,4.3295
1.65,1.65,9.232200000000002
1.8,1.65,14.238299999999999
1.95,1.65,19.358450000000005
2.1,1.65,24.664399999999997
2.25,1.65,30.178300000000007
2.4,1.65,35.8494
2.55,1.65,41.663349999999994
2.7,1.65,47.586600000000004
2.85,1.65,53.596849999999996
3.0,1.65,59.68204999999999
3.15,1.65,65.83415000000001
3.3,1.65,72.03535000000001
3.45,1.65,78.26709999999999
3.6,1.65,84.51915
3.75,1.65,90.78715000000001
3.9,1.65,97.06679999999999
4.05,1.65,103.35965000000002
4.2,1.65,109.67005000000002
4.35,1.65,115.9949
4.5,1.65,122.34629999999997
4.65,1.65,128.7313
4.8,1.65,135.16145
4.95,1.65,141.6419
5.1,1.65,148.18475
5.25,1.65,154.796
5.4,1.65,
,1.65,
-5.4,1.5,
-5.25,1.5,
-5.1,1.5,-312.28650000000005
-4.95,1.5,-300.45750000000004
-4.8,1.5,-288.86305000000004
-4.65,1.5,-277.5036
-4.5,1.5,-266.38735
-4.35,1.5,-255.51404999999994
-4.2,1.5,-244.89790000000002
-4.05,1.5,-234.54644999999996
-3.9,1.5,-224.47494999999998
-3.75,1.5,-214.68739999999997
-3.6,1.5,-205.19400000000002
-3.45,1.5,-196.00969999999998
-3.3,1.5,-187.13965
